THE FIRST 114 LINES OF DATA HAVE SOME FORMATTING ISSUES.  SHE DIDN’T USE MILITARY TIME (BUT THE OPEN HOURS ARE 10AM TO 8PM).  ALSO THERE IS SOME VARIATION ON THE DAY OF WEEK SPELLINGS,,,,,,,,,
,,,,,,,,,
Tip amount,Time,Day,Culture,Married,Age,,,Culture Codes,
4,12,Thur,P,NM,30,,,,
5,13,Thur,A,NM,20,,,,
7,13,Thur,W,NM,25,,,,
4,14,Thur,M,M,40,,,,
7,10,Fri,W,NM,35,,,,
8,11,Fri,W,NM,30,,,,
5,11,Fri,W,M,50,,,,
2,12,Fri,I,NM,40,,,,
10,12,Fri,W,NM,20,,,,
10,13,Fri,W,M,25,,,,
9,13,Fri,W,NM,30,,,,
15,14,Fri,W,NM,30,,,,
5,14,Fri,A,M,40,,,,
10,10,Sat,W,M,40,,,,
4,11,Sat,W,NM,30,,,,
5,11,Sat,M,NM,30,,,,
4,13,Sat,M,M,35,,,,
5,13,Sat,W,M,50,,,,
6,14,Sat,I,NM,30,,,,
5,15,Sat,I,NM,35,,,,
4,15,Sat,W,NM,30,,,,
7,17,Sat,I,M,40,,,,
7,17,Sat,I,NM,10,,,,
3,17,Sat,W,M,50,,,,
7,18,Sat,W,M,35,,,,
10,15,Tue,P,NM,25,,,,
5,15,Tue,M,NM,20,,,,
40,16,Tue,P,NM,35,,,,
5,16,Tue,W,NM,20,,,,
4,17,Tue,W,NM,16,,,,
10,17,Tue,W,M,40,,,,
8,18,Tue,W,NM,31,,,,
25,18,Tue,I,NM,30,,,,
5,19,Tue,I,NM,25,,,,
5,19,Tue,W,NM,10,,,,
2,10,Sat,I,NM,35,,,,
2,11,Sat,A,NM,4,,,,
10,11,Sat,W,M,35,,,,
3,12,Sat,I,NM,30,,,,
5,12,Sat,W,M,50,,,,
3,13,Sat,I,NM,40,,,,
2,13,Sat,I,M,35,,,,
7,13,Sat,W,NM,5,,,,
5,14,Sat,E,M,40,,,,
2,15,Sat,W,M,40,,,,
5,15,Sat,W,NM,30,,,,
5,16,Sat,W,NM,30,,,,
5,16,Sat,W,NM,35,,,,
10,10,Wed,W,M,35,,,,
5,11,Wed,I,M,40,,,,
5,11,Wed,E,NM,3,,,,
10,13,Mon,W,M,35,,,,
3,13,Mon,I,NM,30,,,,
7,15,Mon,I,NM,45,,,,
4,12,Mon,W,M,35,,,,
5,12,Mon,W,NM,25,,,,
25,13,Mon,W,NM,30,,,,
4,13,Mon,A,NM,30,,,,
5,14,Mon,W,NM,11,,,,
3,14,Mon,W,NM,40,,,,
